starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 28 12:36:58 2013	1377668218	0	151	152	117
Wed Aug 28 12:37:00 2013	1377668220	0	151	152	128
Wed Aug 28 12:37:05 2013	1377668225	1	151	152	103
Wed Aug 28 12:36:27 2013	1377668187	0	152	152	81
Wed Aug 28 12:36:30 2013	1377668190	0	152	152	107
Wed Aug 28 12:36:24 2013	1377668184	0	152	152	82
Wed Aug 28 12:36:36 2013	1377668196	0	153	153	76
Wed Aug 28 12:36:20 2013	1377668180	0	153	153	78
Wed Aug 28 12:36:35 2013	1377668195	0	153	153	78
Wed Aug 28 12:36:43 2013	1377668203	0	153	153	77
Wed Aug 28 12:36:24 2013	1377668184	0	153	154	107
Wed Aug 28 12:36:54 2013	1377668214	0	154	154	114
Wed Aug 28 12:36:25 2013	1377668185	0	154	154	76
Wed Aug 28 12:36:18 2013	1377668178	0	154	154	114
Wed Aug 28 12:36:41 2013	1377668201	0	154	154	107
Wed Aug 28 12:36:58 2013	1377668218	0	155	155	91
Wed Aug 28 12:36:36 2013	1377668196	0	155	155	85
Wed Aug 28 12:37:02 2013	1377668222	0	156	156	109
Wed Aug 28 12:37:01 2013	1377668221	0	156	157	110
Wed Aug 28 12:36:24 2013	1377668184	0	157	157	86
Wed Aug 28 12:36:43 2013	1377668203	0	157	157	109
Wed Aug 28 12:37:00 2013	1377668220	0	158	158	94
Wed Aug 28 12:36:35 2013	1377668195	0	158	158	110
Wed Aug 28 12:36:46 2013	1377668206	0	158	159	113
Wed Aug 28 12:36:58 2013	1377668218	0	159	159	124
Wed Aug 28 12:36:21 2013	1377668181	0	159	160	111
Wed Aug 28 12:36:23 2013	1377668183	0	160	160	105
Wed Aug 28 12:36:56 2013	1377668216	0	160	160	126
Wed Aug 28 12:36:36 2013	1377668196	1	160	160	112
Wed Aug 28 12:36:19 2013	1377668179	0	161	161	88
Wed Aug 28 12:36:37 2013	1377668197	0	162	162	85
Wed Aug 28 12:36:30 2013	1377668190	0	162	162	109
Wed Aug 28 12:36:47 2013	1377668207	1	162	162	109
Wed Aug 28 12:36:30 2013	1377668190	0	164	164	119
Wed Aug 28 12:36:51 2013	1377668211	0	164	164	112
Wed Aug 28 12:37:01 2013	1377668221	0	165	165	141
Wed Aug 28 12:37:05 2013	1377668225	0	165	166	101
Wed Aug 28 12:36:55 2013	1377668215	0	165	166	137
Wed Aug 28 12:36:59 2013	1377668219	0	166	166	100
Wed Aug 28 12:36:18 2013	1377668178	0	166	167	73
Wed Aug 28 12:36:37 2013	1377668197	0	166	167	103
Wed Aug 28 12:36:53 2013	1377668213	0	167	167	113
Wed Aug 28 12:37:00 2013	1377668220	0	167	167	106
Wed Aug 28 12:36:17 2013	1377668177	0	168	168	86
Wed Aug 28 12:37:00 2013	1377668220	1	168	169	109
Wed Aug 28 12:37:01 2013	1377668221	0	168	169	99
